"idx","description"
637,"kleiner Eisbecher"
638,"Fruchtsorbet"
639,"Eiskaffee"
640,"Eisschokolade"
641,"Vanille-Eis mit heißer Schokoladensauce"
642,"1 Tasse Kaffee"
643,"1 Tasse Kaffee coffeinfrei"
644,"1 Tasse Schokolade"
645,"1 Glas Tee mit Sahne oder Zitrone"
646,"1 Glas Tee mit Pott Rum-Verschnitt"
647,"1 Glas Riemerschmied Fürsten-Heißtee"
648,"1 Glas Kaffee mit Kirsch"
649,"1 Glas Grog von Pott Rum Verschnitt"
650,"Kleingebäck"
651,"Schloßkuchen"
652,"Obst-Torte, Obstkuchen, Kirschroulade"
653,"feine Desserts"
654,"Schwäbischer Apfelkuchen"
655,"Zwetschgendatschi nach Art des Hauses"
656,"Nuß-Torte, Sacher-Torte, Nationaltheater-"
657,"Torte, Prinzregenten-Torte, Punsch-Torte"
658,"Flasche Coca Cola"
659,"Flasche Bluna-Orangeade"
660,"Flasche Fanta-Orangeade"
661,"Fanta-Zitrone"
662,"Canada Soda"
663,"Canada Tonic."
664,"Canada Ginger Ale"
665,"Apollinaris"
666,"Fachinger"
667,"Traubensaft weiß"
668,"Traubensaft rot"
669,"Johannisbeersaft rot"
670,"Orangensaft „Hohes C“"
671,"Tomate, Pfirsich, Aprikosen, Heidelbeeren,"
672,"Erdbeeren, Sauerkirsch, Birnen"
673,"Frisch ausgepreßter Orangensaft Glas"
674,"Frisch ausgepresster Orangensaft mit Sekt im Glas"
675,"Export, hell"
676,"Edelpils"
677,"Trittenheimer Riesling"
678,"Orig. Kälterer See Auslese "
679,"Baron Josef di Pauli-Kaltem,"
680,"Beaujolais J. P. Leconte"
681,"Orig. Kälterer See Auslese,Baron Josef di Pauli-Kaltem"
682,"1961er Beaujolais Superieures, "
683,"Burgund Chateau de Grammont"
684,"J. Thorin, Pontanevaux"
685,"Burgund J. Calvet & Cie., Beaune"
686,"1960er Saint Emilion."
687,"Bordeaux J. Calvet & Cie., Beaune,"
688,"1961er Moulin-ä-Vent "
689,"Burgund J. Calvet & Cie., Beaune,"
690,"1961er Geisweiler Grand Vin de Bourgogne"
691,"Burgund weiß"
692,"1961er Geisweiler Grand Vin de Bourgogne Burgund rot "
693,"Franz. Rose Pradel,"
694,"Cötes de Provence"
695,"1963 Iphöfer Silvaner natur"
696,"1961er Kallstadter Saumagen, "
697,"Rheinpfalz Riesling Spätlese"
698,"1963 er Bernkasteler Badstube"
699,"Wachstum und Orig.-Abf.,"
700,"Deinhard’sche Gutsverwaltung,"
701,"Bernkasteler Bratenhöfchen,"
702,"Deinhard'sche Gutsverwaltung"
703,"Bernkasteler Doctor, "
704,"Deinhard'sche Gutsverwaltung,"
705,"1959er Maximin Grünhäuser"
706,"Herrenberg Auslese,"
707,"Original-Kellerabzug C. Schubert,"
708,"Matjesfilet ""Hausfrauen Art* mit Äpfeln, Zwiebeln, Gurken und "
709,"Salzkatoffeln"
710,"Geräuchertes Renkenfilet, Kren mit Rahm, Toast und Butter"
711,"Nudelsuppe (mit hausgemachten Nudeln)"
712,"Bouillon gilt Ei"
713,"Aufgeschmalzene Brotsuppe mit Röstzwiebeln und Ei"
714,"Nudelsuppe (mit hausgemachten Nudeln) mit Ochsenfleisch in der Terrine"
715,"Terrine Nudelsuppe (mit hausgemachte Nudeln) mit zwei Paar Kalbsbratwürstl"
716,"in der Terrine"
717,"Leberknödlsuppe"
718,"2 Stück kälberne Weißwürste (täglich frisch, bis 12.00 Uhr läuten"
719,"2 Stück Stockwürste"
720,"2 Paar Schweinswürstl mit Sauerkraut"
