"idx","Name","Straße","Hausnummer","PLZ","Stadtteil","Stadt","Bundesland","Land","URL","Eröffnung","Schließung","Breitengrad","Längengrad","Qualität","Präzision"
110,"Schneider, Weinhaus","Sparkassenstr.","1","80331","Bezirksteil Graggenau","München","Bayern","Germany",,"vor 1925",,"48.136888","11.5773829","restaurant","0.321"
111,"Schönen Münchnerin, Zur, Café","Sonnenstr.","12","80331","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"vor 1957",,"48.1370208","11.5641902","sports_centre","0.421"
112,"Schottenhammel","Prielmayerstr.","3","80335","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany",,"vor 1885","1974","48.1409559","11.5619132","hospital","0.321"
113,"Schottenhammel, Festzelt","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1867",,"48.1336862","11.5536309","tertiary","0.32"
114,"Schwabinger Bräu","Leopoldstr.","82","80802","Bezirksteil Schwabing-Ost","München","Bayern","Germany","https://www.literaturportal-bayern.de/ortelexikon?task=lpbplace.default&id=792","1874/1961","ja","48.1612986","11.5866307","doctors","0.421"
115,"Schwarzer Adler","Kaufingerstr.","23","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1885",,"48.13775035","11.5729329533","pedestrian","0.31"
116,"Schwarzwälder's Naturweinhaus","Hartmannstr.","8","80333","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1935",,"48.1394903","11.5726579","cafe","0.321"
117,"Schweizer Haus","Schwanthalerstr.","146","80339","Bezirksteil Schwanthalerhöhe","München","Bayern","Germany",,,,"48.1379457","11.5447736","pub","0.321"
118,"Schweizer Hof","Planeggerstr.","14",,"null","München","Bayern","Germany",,"vor 1963",,"48.10715685","11.4499235307","fire_station","0.211"
119,"Schweizer Hof, Gaststätte","Lindwurmstr. ?","23/25","80337","Bezirksteil Am Schlachthof","München","Bayern","Germany",,,,"48.1245824","11.5490312","secondary","0.31"
120,"Sell's Schoppenstube","Jahnstr.?","50","80469","Bezirksteil Glockenbach","München","Bayern","Germany",,"vor 1973","2013","48.1268709","11.5687748","kiosk","0.321"
121,"Spaten-Bräuhallen","Neuhauserstr.","25-28","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,,,"48.1389272","11.5674401","pedestrian","0.31"
122,"Spatenhaus, Gaststätte","Residenzstr.","12","80333","Bezirksteil Graggenau","München","Bayern","Germany","https://www.kuffler.de/de/restaurant/spatenhaus/","vor 1947",,"48.1398289","11.5773071","restaurant","0.211"
123,"Spöckmeier, Zum","Rosenstr.","9","80331","Bezirksteil Angerviertel","München","Bayern","Germany","http://www.spoeckmeier.com/","1450",,"48.1367937","11.5739266","restaurant","0.321"
124,"St. Paul, Gaststätte","Landwehrstr.","73","80336","Bezirksteil St. Paul","München","Bayern","Germany",,,,"48.136328","11.5550516","house","0.321"
125,"Stadt Wien, Restaurant","Bayerstr.","27/29","80331","Bezirksteil St. Paul","München","Bayern","Germany",,"vor 1956","ja","48.1390409","11.5488145","secondary","0.2"
126,"Straßburger Keller","Leopoldstr.","42",,"Bezirksteil Schwabing-Ost","München","Bayern","Germany",,"vor 1963","ja","48.1567761","11.5847688","restaurant","0.211"
127,"Tafelmeyer, Anton, Gasthaus","Ottostr. 3 oder St.-Georgs-Platz 9",,,,"München","Bayern","Germany",,,,"48.212225","11.348711",,"0.16875"
128,"Tasca Valenciana","Mettinghstr.","2","80634","Bezirksteil Neuhausen","München","Bayern","Germany","http://www.latascanueva.com/",,,"48.14632","11.531005","restaurant","0.321"
129,"Torggelstube, Zur","Platzl","6-8",,"Bezirksteil Graggenau","München","Bayern","Germany","https://www.literaturportal-bayern.de/ortelexikon?task=lpbplace.default&id=452","1899","ja","48.1379359","11.5801792","pedestrian","0.31"
130,"Tsing-Tien, Restaurant","Nymphenburgerstr.","193","80639","Bezirksteil Neuhausen","München","Bayern","Germany",,,"ja","48.1567448","11.5301773","restaurant","0.221"
131,"Union","Pariserstr.","46","81667","Bezirksteil Haidhausen Süd","München","Bayern","Germany",,,,"48.1289224","11.6012058","restaurant","0.221"
132,"Union, Hotel","Barerstr.","7-11","80333","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany",,"1908",,"48.1482122","11.5714495","tertiary","0.21"
133,"Valentin-Musäum, Turmstüberl im","Tal","50","80331","Bezirksteil Graggenau","München","Bayern","Germany","http://www.xn--turmstberl-feb.de/",,,"48.1349538","11.5816508","museum","0.566707732"
134,"Vier Jahreszeiten, Hotel","Maximilianstr.","17","80539","Bezirksteil Graggenau","München","Bayern","Germany","https://www.kempinski.com/de/muenchen/hotel-vier-jahreszeiten","1858",,"48.1391684","11.5819647","hotel","0.5402722516"
135,"Viktoria, Café Restaurant","Maximilianstr.","17","80539","Bezirksteil Graggenau","München","Bayern","Germany",,"vor 1891",,"48.1391684","11.5819647","hotel","0.5402722516"
136,"Wagner","Lilienstr.","51","81669","Bezirksteil Untere Au","München","Bayern","Germany","http://www.wirtshausinderau.de","1842",,"48.1290351","11.5865704","restaurant","0.321"
137,"Wagner, Hotel","Sonnenstr.","21","80331","Bezirksteil Hackenviertel","München","Bayern","Germany",,"1904","ja","48.1360093","11.5653989","quango","0.321"
138,"Wartburg, Christliches Hospiz","Auenstr.","3","80469","Bezirksteil Glockenbach","München","Bayern","Germany",,,,"48.1265454","11.5726274","house","0.321"
139,"Weichandhof","Betzenweg","81","81247","Bezirksteil Obermenzing","München","Bayern","Germany","https://restaurant-weichandhof.de/","vor 1935",,"48.1672952","11.4582175","house","0.331"
140,"Weinstadl, Der Weinschenk im","Burgstr.","5","80331","Bezirksteil Graggenau","München","Bayern","Germany","https://www.hofer-der-stadtwirt.de/","1550 ca.",,"48.1376001","11.5774048","restaurant","0.321"
141,"Weisses Bräuhaus","Tal","10","80331","Bezirksteil Graggenau","München","Bayern","Germany","https://www.schneider-brauhaus.de/","vor 1903",,"48.1359939","11.5784535","fast_food","0.331"
142,"Wendelstein, Gaststätte zum","Hirschgartenallee 41 oder Rosenheimerstr. 72 oder Schwanthalerstr. 46",,,,"München","Bayern","Germany",,,,"48.15462","11.506677",,"0.22175"
143,"Zirbelstube, Eden-Hotel-Wolff","Arnufstr.","4","80335",,"München","Bayern","Germany","http://www.peterundwolff.de/",,,"48.152126","11.544467",,"0.15"
